Company Name,Ticker,CIK,Number Sequence,Temporary Number Sequence
,,,128 0,128 0 0
,,,1466434 0,1466434 0 3584
,,,1173 0,1173 0 0
AKZO NOBEL NV SPONSORED ADR,ADR,10199305,478756 0,478756 0 19
AKZO NOBEL NV SPONSORED ADR,ADR,10199305,468112 0,468112 0 105
ALAMO GROUP INC,Common,11311107,3483 0,3483 0 0
AMERICAN ATLANTIC COMPANY,Common,24022105,59825 0,59825 0 0
AMERICAN EXPRESS COMPANY U,Common,25816109,59825 0,59825 0 0
,,,128 0,128 0 0
,,,1466434 0,1466434 0 3584
,,,1173 0,1173 0 0
AKZO NOBEL NV SPONSORED ADR,ADR,10199305,478756 0,478756 0 19
AKZO NOBEL NV SPONSORED ADR,ADR,10199305,468112 0,468112 0 105
ALAMO GROUP INC,Common,11311107,3483 0,3483 0 0
AMERICAN ATLANTIC COMPANY,Common,24022105,59825 0,59825 0 0
AMERICAN EXPRESS COMPANY U,Common,25816109,59825 0,59825 0 0
