FileNumber,SecurityDescription,Class,CUSIP,Shares,MarketValue(in$1000),InvestmentDiscretion,VotingAuthority(Sole),VotingAuthority(Shared),VotingAuthority(None)
028-06664,"Ade Corporation",COM,00089C107,212950,2438,Sole,201900,0,11050
028-06664,"AVX Corp.",COM,002444107,1498286,24467,Sole,1402846,0,95440
028-06664,"Aegis Realty Inc.",COM,00760P104,7200,81,Sole,7200,0,0
028-06664,"Agere Systems Inc. CL B,CL" B,00845V209,2,0,Sole,0,0,2
028-06664,"Alamo Group, Inc.",COM,011311107,165300,2480,Sole,162400,0,2900
028-06664,"American Power Conversion",COM,029066107,1011625,12777,Sole,955825,0,55800
028-06664,"Analogic Corp.",COM,032657207,132225,6502,Sole,124125,0,8100
028-06664,"Ambac Financial Group",COM,023139108,60,4,Sole,60,0,0
028-06664,"American Land Lease Inc.",COM,027118108,84310,1286,Sole,79410,0,4900
028-06664,"Anthracite Capital Inc.",COM,037023108,18800,249,Sole,15300,0,3500
028-06664,"AVAYA Inc",COM,053499109,1,0,Sole,1,0,0
028-06664,"BKF Capital Group",COM,05548G102,14365,409,Sole,14365,0,0
028-06664,"Bel Fuse Cl A",CL A,077347201,6550,149,Sole,6550,0,0
028-06664,"Bel Fuse CL B",CL B,077347300,183825,4972,Sole,174400,0,9425
028-06664,"Berkshire Hathaway Inc DEL CL",CL B,084670207,77,172,Sole,77,0,0
028-06664,"Brascan Corporation",CL A,10549P606,590318,13566,Sole,548943,0,41375
028-06664,"Brookfield Properties",COM,112900105,99100,1992,Sole,93400,0,5700
028-06664,"Capital Southwest",COM,140501107,266401,18115,Sole,256356,0,10045
028-06664,"Cattellus Development Corp.",COM,149111106,828361,16915,Sole,775536,0,52825
028-06664,"Ciena Corporation",COM,171779101,21300,89,Sole,21300,0,0
028-06664,"Comverse Technology, Inc.",COM,205862402,1021150,9456,Sole,948275,0,72875
028-06664,"Credence Systems",COM,225302108,993319,17651,Sole,922569,0,70750
