file_number,Company Name,Ticker,CIK,Value,Amount,Temporary Number Sequence
28-1222,HOLOGIC CONV V-A BONDPAYING 2.000% 12/15/37 PERIODIC PAR,SHARED - INCOME,436440AA9,10264,105000,"14, 0, 10264"
28-1222,HIC CONV V-A BONDPAYING 2.000% 12/15/37 PERIODIC PAR,SHARED - INCOME,436440AA9,10264,105000,"14, 0, 10264"
28-1222,HOLOGIC CONV V-A BONDPAYING 2.000% 12/15/37 PERIODIC PAR,SHARED - INCOME,436440AA9,10264,105000,"14, 0, 10264"
28-1222,HIC CONV V-A BONDPAYING 2.000% 12/15/37 PERIODIC PAR,SHARED - INCOME,436440AA9,10264,105000,"14, 0, 10264"
28-1222,HOLOGIC CONV V-A BONDPAYING 2.000% 12/15/37 PERIODIC PAR,SHARED - INCOME,436440AA9,10264,105000,"14, 0, 10264"
28-1222,HIC CONV V-A BONDPAYING 2.000% 12/15/37 PERIODIC PAR,SHARED - INCOME,436440AA9,10264,105000,"14, 0, 10264"
28-1222,HOLOGIC CONV V-A BONDPAYING 2.000% 12/15/37 PERIODIC PAR,SHARED - INCOME,436440AA9,10264,105000,"14, 0, 10264"
28-1222,HIC CONV V-A BONDPAYING 2.000% 12/15/37 PERIODIC PAR,SHARED - INCOME,436440AA9,10264,105000,"14, 0, 10264"
28-1222,HOLOGIC CONV V-A BONDPAYING 2.000% 12/15/37 PERIODIC PAR,SHARED - INCOME,436440AA9,10264,105000,"14, 0, 10264"
28-1222,HIC CONV V-A BONDPAYING 2.000% 12/15/37 PERIODIC PAR,SHARED - INCOME,436440AA9,10264,105000,"14, 0, 10264"
28-1222,HOLOGIC CONV V-A BONDPAYING 2.000% 12/15/37 PERIODIC PAR,SHARED - INCOME,436440AA9,10264,105000,"14, 0, 10264"
28-1222,HIC CONV V-A BONDPAYING 2.000% 12/15/37 PERIODIC PAR,SHARED - INCOME,436440AA9,10264,105000,"14, 0, 10264"
28-1222,HOLOGIC CONV V-A BONDPAYING 2.000% 12/15/37 PERIODIC PAR,SHARED - INCOME,436440AA9,10264,105000,"14, 0, 10264"
28-1222,HIC CONV V-A BONDPAYING 2.000% 12/15/37 PERIODIC PAR,SHARED - INCOME,436440AA9,10264,105000,"14, 0, 10264"
28-1222,HOLOGIC CONV V-A BONDPAYING 2.000% 12/15/37 PERIODIC PAR,SHARED - INCOME,436440AA9,10264,105000,"14, 0, 10264"
28-1222,HIC CONV V-A BONDPAYING 2.000% 12/15/37 PERIODIC PAR,SHARED - INCOME,436440AA9,10264,105000,"14, 0, 10264"
28-1222,HOLOGIC CONV V-A BONDPAYING 2.000% 12/15/37 PERIODIC PAR,SHARED - INCOME,436440AA9,10264,105000,"14, 0, 10264"
28-1222,HIC CONV V-A BONDPAYING 2.000% 12/15/37 PERIODIC PAR,SHARED - INCOME,436440AA9,10264,105000,"14, 0, 10264"
